channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,BI,J_final
37,29,40.0,0.001616876,2.70982418442145e-05,59.66719055175781,1264.9885830600808,75478.31483124396,6.930032633054197e-05,0.2609442174434662
40,5,1.4,0.026456329,0.0019280187552794814,13.722028732299805,12039.260679064406,165203.08095376904,6.197482879262505e-05,0.23336070775985718
37,25,26.0,0.002107207,3.526146974763833e-05,59.75947570800781,1100.5608994126408,65768.94233363293,7.732430137502112e-05,0.2911577820777893
37,27,30.0,0.00192488,3.1817933631828055e-05,60.496700286865234,1143.7406749549145,69192.53681864441,7.465865793768265e-05,0.28112053871154785
40,27,30.0,0.001553855,6.27225890639238e-05,24.773452758789062,1664.9164809748436,41245.729788759614,8.472168075672953e-05,0.31901195645332336
40,25,26.0,0.001656598,6.832362123532221e-05,24.2463436126709,1631.9949816598405,39569.91109947903,8.83986404759773e-05,0.332857221364975
40,29,40.0,0.001289217,5.0921840738737956e-05,25.31756591796875,1747.8250765751382,44250.67658926984,7.865428169510842e-05,0.29616570472717285
41,1,0.6,0.001463017,0.0003125133225694299,4.681454658508301,2083.1809046416183,9752.316950550041,0.0002156817176538765,0.812130331993103
40,9,2.0,0.031419458,0.0016682945424690843,18.833280563354492,12948.398986900362,243860.83096654958,3.26363971105371e-05,0.1228894516825676
40,7,1.8,0.038734442,0.0018423546571284533,21.02442169189453,13940.519596851978,293091.36260833556,2.6246113465351324e-05,0.09882740676403046
40,13,4.0,0.009801800999999999,0.00014221074525266886,68.92447662353516,24486.956276619985,1687750.6454694215,3.486977794842493e-05,0.13129904866218567
40,11,3.0,0.024940998000000002,0.0010286092292517424,24.24730110168457,7326.482480985363,177647.4267326691,2.3067554052797373e-05,0.0868588238954544
41,3,1.0,0.00132235,0.0002588968491181731,5.107632637023926,2478.603307811828,12659.795149215151,0.00020038557471951688,0.7545340657234192
41,5,1.4,0.001257927,0.00024957818095572293,5.040212154388428,2993.115735861099,15085.938311378373,0.00019126451114679852,0.7201895117759705
40,21,10.0,0.002312694,0.00012068370415363461,19.163267135620117,1875.618493051374,35942.97822685272,0.00010018199954285821,0.37722641229629517
40,23,20.0,0.00189825,7.881397323217243e-05,24.085195541381836,1553.1611668843577,37408.19041169054,9.408874296266558e-05,0.35428279638290405
41,7,1.8,0.0012247340000000001,0.000270989490672946,4.51948881149292,3470.204814290208,15683.551831773462,0.00019861683180391927,0.7478740215301514
41,9,2.0,0.0012094060000000001,0.00024228270922321826,4.991714000701904,3532.128415682912,17631.374864841426,0.00017824313334791807,0.6711586713790894
41,11,3.0,0.0011776660000000002,0.00021464833116624504,5.486490726470947,4733.187793576188,25968.59093610124,0.00014218287271173627,0.5353769659996033
41,13,4.0,0.001172135,0.0002104110171785578,5.570692539215088,3688.758643605633,20548.94025489907,0.0001627959134883997,0.6129935383796692
41,21,10.0,0.0010694230000000001,0.00014790378918405622,7.230531692504883,2086.7139208274834,15088.051137734245,0.00017176571018173654,0.6467685103416443
