channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,BI,J_final
83,19,8.0,0.001788618,2.629794653330464e-05,68.01359558105469,900.9987612537908,61280.165366946574,4.051148414611816,7.517102779450772e-05,0.2830498218536377
83,9,2.0,0.0031705730000000003,5.73585057281889e-05,55.27641677856445,646.4628920724232,35734.15225407139,0.35086989402770996,0.00011184447649123801,0.4211404323577881
83,11,3.0,0.002789885,4.3937099690083414e-05,63.497249603271484,684.0413566671829,43434.74476325657,0.8388935923576355,9.88888624272247e-05,0.37235721945762634
83,23,20.0,0.001055093,1.770298695191741e-05,59.5997200012207,1165.6046968068576,69469.71356179647,5.219423294067383,6.279623834034224e-05,0.23645365238189697
83,21,10.0,0.001586739,2.3321410481003113e-05,68.0378646850586,947.0138927439771,64432.80308938531,4.953344821929932,7.170301772028252e-05,0.26999133825302124
94,29,40.0,0.001060134,6.224416574696079e-05,17.031862258911133,2366.2320857458835,40301.33895703989,140.75979614257812,6.495919958621579e-05,0.24459809064865112
91,13,4.0,0.001322959,6.062497413950041e-05,21.822011947631836,763.2147443936561,16654.881270767142,0.0009128930396400392,0.00014898085945832325,0.5609741806983948
91,11,3.0,0.0014831010000000001,6.248857971513644e-05,23.73395347595215,702.5995033341674,16675.463924360214,0.0005871474277228117,0.00014937990579176068,0.5624767541885376
94,15,5.0,0.003596281,9.968700760509819e-05,36.075721740722656,1080.6092542496274,38983.758766759376,1.7124100923538208,9.186315222660023e-05,0.34590253233909607
94,13,4.0,0.0039683060000000004,0.0001009371189866215,39.314632415771484,958.2807741401392,37674.45638642051,0.8353689908981323,9.673095079777255e-05,0.36423179507255554
94,17,6.0,0.003369602,0.0001010831183521077,33.3349609375,1164.9189035819768,38832.52614626053,3.042351007461548,8.909899378048917e-05,0.33549433946609497
94,19,8.0,0.0029284249999999997,0.00010113014286616817,28.95699691772461,1339.0422853657005,38774.64333003751,10.981574058532715,8.417488169703141e-05,0.31695303320884705
91,17,6.0,0.001091107,5.556354153668508e-05,19.637102127075195,839.90805972509,16493.360346175163,0.00014478446973953396,0.00014748335534329094,0.5553354620933533
91,15,5.0,0.001194072,5.776224497822113e-05,20.67218589782715,810.8472882996124,16761.98587847863,0.006742237601429224,0.00014949848471531102,0.56292325258255
91,19,8.0,0.000927844,5.711272751796059e-05,16.24583625793457,943.5788398628073,15329.227328863033,5.445654096547514e-05,0.00014736981020664345,0.5549079179763794
91,21,10.0,0.000809598,5.470791074912995e-05,14.798555374145508,1002.8567099421343,14840.830554412054,6.712407775921747e-05,0.0001469619468313668,0.5533721446990967
94,11,3.0,0.004472413000000001,0.00010804792691487819,41.39286422729492,845.6413536940435,35003.51773844342,0.2661571800708771,0.00010584743172486712,0.3985590934753418
94,9,2.0,0.005277561000000001,0.00012194444570923224,43.27840042114258,753.2875603860175,32601.080670651685,0.01808863878250122,0.00010907906751316053,0.41072753071784973
