# Load-curve quantities extracted from the Excel (run 205, 25 mK), one row per (channel, bias). Units: V in V, I in A, R in Ohm.
channel,bias_V,V_bol_V,I_bol_A,R_bol_Ohm,R_load_Ohm
86,0.600,0.00803769,2.88145e-10,2.78946e+07,2.069e+09
86,1.000,0.00964549,4.80418e-10,2.00773e+07,2.069e+09
86,1.400,0.0103576,6.74569e-10,1.53544e+07,2.069e+09
86,1.800,0.0106945,8.67045e-10,1.23344e+07,2.069e+09
86,2.000,0.010804,9.63377e-10,1.12147e+07,2.069e+09
86,3.000,0.0110016,1.44783e-09,7.5987e+06,2.069e+09
86,4.000,0.0110203,1.92797e-09,5.71603e+06,2.069e+09
86,5.000,0.0109787,2.41002e-09,4.55546e+06,2.069e+09
86,6.000,0.0109611,2.77561e-09,3.94908e+06,2.069e+09
86,8.000,0.0108891,3.73839e-09,2.91278e+06,2.069e+09
86,10.000,0.0108339,4.70841e-09,2.30096e+06,2.069e+09
86,20.000,0.0106796,9.41898e-09,1.13383e+06,2.069e+09
86,26.000,0.0106309,1.23179e-08,863049,2.069e+09
86,30.000,0.0106037,1.41263e-08,750633,2.069e+09
86,40.000,0.0105239,1.88254e-08,559027,2.069e+09
86,50.000,0.0104342,2.35436e-08,443187,2.069e+09
87,0.600,0.0079186,2.89353e-10,2.73666e+07,2.069e+09
87,1.000,0.00977679,4.79325e-10,2.0397e+07,2.069e+09
87,1.400,0.0106934,6.71187e-10,1.5932e+07,2.069e+09
87,1.800,0.0111829,8.66016e-10,1.2913e+07,2.069e+09
87,2.000,0.0113403,9.60295e-10,1.18092e+07,2.069e+09
87,3.000,0.0116786,1.44543e-09,8.07963e+06,2.069e+09
87,4.000,0.011737,1.92731e-09,6.08982e+06,2.069e+09
87,5.000,0.0117124,2.41353e-09,4.85279e+06,2.069e+09
87,6.000,0.0116704,2.89637e-09,4.02934e+06,2.069e+09
87,8.000,0.0115782,3.86309e-09,2.99713e+06,2.069e+09
87,10.000,0.0115009,4.82993e-09,2.38117e+06,2.069e+09
87,20.000,0.0112138,9.65982e-09,1.16087e+06,2.069e+09
87,26.000,0.0110873,1.25616e-08,882636,2.069e+09
87,30.000,0.0110118,1.44924e-08,759836,2.069e+09
87,40.000,0.0108306,1.93219e-08,560536,2.069e+09
87,50.000,0.0106542,2.40464e-08,443070,2.069e+09
88,0.600,0.00784431,2.85986e-10,2.7429e+07,2.069e+09
88,1.000,0.00984352,4.79297e-10,2.05374e+07,2.069e+09
88,1.400,0.0108324,6.73517e-10,1.60834e+07,2.069e+09
88,1.800,0.0113473,8.68203e-10,1.30699e+07,2.069e+09
88,2.000,0.0115093,9.6103e-10,1.1976e+07,2.069e+09
88,3.000,0.0118326,1.44294e-09,8.20032e+06,2.069e+09
88,4.000,0.0118752,1.93197e-09,6.14665e+06,2.069e+09
88,5.000,0.0118417,2.41295e-09,4.90756e+06,2.069e+09
88,6.000,0.0117851,2.89688e-09,4.06821e+06,2.069e+09
88,8.000,0.0117228,3.86622e-09,3.03211e+06,2.069e+09
88,10.000,0.011672,4.70114e-09,2.48281e+06,2.069e+09
88,20.000,0.0114779,9.53234e-09,1.2041e+06,2.069e+09
88,26.000,0.0113818,1.24321e-08,915516,2.069e+09
88,30.000,0.0113249,1.42363e-08,795495,2.069e+09
88,40.000,0.0111678,1.90587e-08,585970,2.069e+09
88,50.000,0.0110037,2.37439e-08,463431,2.069e+09
89,0.600,0.00897945,2.86989e-10,3.12885e+07,2.069e+09
89,1.000,0.0108334,4.8053e-10,2.25446e+07,2.069e+09
89,1.400,0.0116564,6.718e-10,1.7351e+07,2.069e+09
89,1.800,0.0120608,8.63451e-10,1.39681e+07,2.069e+09
89,2.000,0.0121884,9.61528e-10,1.2676e+07,2.069e+09
89,3.000,0.0124218,1.44474e-09,8.59794e+06,2.069e+09
89,4.000,0.0124368,1.92926e-09,6.44643e+06,2.069e+09
89,5.000,0.0123974,2.41303e-09,5.13771e+06,2.069e+09
89,6.000,0.0123494,2.89385e-09,4.26747e+06,2.069e+09
89,8.000,0.0122594,3.85981e-09,3.17616e+06,2.069e+09
89,10.000,0.0121888,4.83035e-09,2.52337e+06,2.069e+09
89,20.000,0.0119682,9.661e-09,1.23881e+06,2.069e+09
89,26.000,0.0118878,1.25625e-08,946292,2.069e+09
89,30.000,0.0118397,1.4499e-08,816584,2.069e+09
89,40.000,0.0117188,1.93241e-08,606436,2.069e+09
89,50.000,0.0115879,2.41499e-08,479834,2.069e+09
90,0.600,0.0055153,2.89611e-10,1.90438e+07,2.069e+09
90,1.000,0.0074458,4.8223e-10,1.54403e+07,2.069e+09
90,1.400,0.00858404,6.75537e-10,1.2707e+07,2.069e+09
90,1.800,0.0092994,8.68903e-10,1.07025e+07,2.069e+09
90,2.000,0.00954242,9.61835e-10,9.92105e+06,2.069e+09
90,3.000,0.0102953,1.44494e-09,7.12508e+06,2.069e+09
90,4.000,0.0106348,1.93202e-09,5.50449e+06,2.069e+09
90,5.000,0.0107757,2.41383e-09,4.46416e+06,2.069e+09
90,6.000,0.01084,2.894e-09,3.74569e+06,2.069e+09
90,8.000,0.0108681,3.74112e-09,2.90505e+06,2.069e+09
90,10.000,0.0108532,4.70764e-09,2.30544e+06,2.069e+09
90,20.000,0.0106355,9.5411e-09,1.11471e+06,2.069e+09
90,26.000,0.010516,1.23143e-08,853967,2.069e+09
