channel,wp,vbias,model,npol,cc,nzer,t0,amp,baseline,tilt,rms,sigma_baseline,params
91,5,1.4,6p+cc-z4,6,1,4,0.49925,2.52224,0.000661726,0.00183444,0.000732012,0.000219295,0.49925026;2.5222351;0.00066172624;0.001834444;-99999.36;-99999.36;-789.81228;-52.989025;-2621.4563;-505.67091;-161.56403;-40.163233;-2386.0722;2130.6767
91,7,1.8,6p+cc-z4,6,1,4,0.499409,49.9744,0.000343969,0.00110045,0.000418722,0.000126661,0.49940932;49.974391;0.00034396938;0.0011004493;-110.01645;-1150.505;-99999.982;-14.90426;-238.97503;-570.29182;-13.602552;-73.584178;-1768.8958;1797.318
91,9,2,6p+cc-z4,6,1,4,0.499301,3.03337,0.000622873,0.00160274,0.000752809,0.000133238,0.49930131;3.0333664;0.00062287296;0.0016027365;-1501.1504;-100000;-100000;-69.629797;-3326.5557;-812.0038;-202.0946;-49.44098;-2346.0572;2487.2343
91,11,3,6p+cc-z4,6,1,4,0.499462,45.2785,0.000307902,0.000941754,0.00033975,0.000176935,0.4994619;45.278476;0.00030790224;0.00094175387;-100000;-4225.5844;-140.18169;-19.618797;-311.00623;-1018.2855;-88.117076;-17.624818;-2041.0532;2856.1242
91,13,4,6p+cc-z4,6,1,4,0.49946,38.2061,0.000545438,0.00124413,0.000823115,0.000127571,0.49946008;38.206127;0.00054543773;0.0012441314;-37765.578;-2913.3235;-26640.177;-102.21837;-1861.4142;-1861.4334;-298.95821;-64.854145;-2676.7694;3927.0117
91,15,5,6p+cc-z4,6,1,4,0.499494,102.23,0.000503714,0.00116319,0.000864899,0.000174592,0.49949444;102.2304;0.00050371432;0.0011631876;-28008.621;-6085.3101;-112.33228;-11444.079;-2228.2011;-2228.2611;-333.48692;-68.975886;-2797.5648;4497.1926
91,17,6,6p+cc-z4,6,1,4,0.499529,89.23,0.000511874,0.00114728,0.000870627,0.000184806,0.49952902;89.229958;0.00051187365;0.0011472792;-120.0423;-22740.922;-15567.114;-10504.06;-2498.7267;-2498.6316;-360.46821;-72.014367;-3164.5841;5214.8744
91,19,8,6p+cc-z4,6,1,4,0.499545,17.3711,0.000507678,0.00109922,0.00090455,0.000157629,0.49954474;17.371077;0.00050767786;0.0010992237;-131.2182;-37162.964;-35276.435;-36892.33;-2954.9995;-2954.0622;-400.90051;-75.943374;-4393.7903;6965.4693
91,21,10,6p+cc-z4,6,1,4,0.499681,196.836,0.000293037,0.000863176,0.000433744,0.000199115,0.49968119;196.8361;0.00029303745;0.00086317627;-92522.883;-2301.8467;-37.063833;-221.03915;-5329.2549;-516.15554;-125.41737;-31.127063;-2301.032;2.0687179
91,23,20,6p+cc-z4,6,1,4,0.49976,627.227,0.000315176,0.000874882,0.000417795,0.000233249,0.49976028;627.22682;0.00031517624;0.00087488222;-46852.617;-139.77033;-260.69791;-46.100818;-7339.0562;-613.40516;-2726.2684;-37.246406;-139.79807;1
91,25,26,6p+cc-z4,6,1,4,0.499789,549.25,0.000284574,0.000865259,0.000381548,0.000233312,0.4997885;549.2504;0.00028457396;0.00086525868;-70868.271;-206.68126;-1184.9108;-33.475495;-10214.764;-498.34602;-112.79733;-28.76984;-1879.6588;7.3502827
91,27,30,6p+cc-z4,6,1,4,0.499795,657.97,0.000268691,0.000794793,0.000386812,0.000254018,0.49979486;657.96958;0.00026869099;0.00079479343;-70053.339;-1113.1091;-200.21876;-30.791937;-12068.921;-481.81396;-108.21107;-26.823537;-1855.1848;6.9083759
91,29,40,6p+cc-z4,6,1,4,0.499801,591.662,0.000357234,0.00102012,0.000421288,0.000265083,0.49980113;591.66156;0.0003572337;0.0010201155;-79747.619;-286.04153;-676.17822;-52.171768;-3102.2056;-141.57795;-10574.1;-41.663541;-676.3158;1
